,PSMs,F1.126.DMSO,F1.127N.DMSO,F1.127C.DMSO,F1.128N.MLN4924,F1.128C.MLN4924,F1.129N.MLN4924,F1.129C.CSN5i.R,F1.130N.CSN5i.R,F1.130C.CSN5i.R
GALNT6,5,-1.78697101975795,-1.66739573120071,-1.91230119144188,-1.6989806743846,-1.32602205097732,-1.64111994102512,-1.44213368340125,-1.55618201952588,-1.19858939116253
SRXN1,8,-0.474380789449921,-0.378132463089688,-0.399180737535483,0.297222757527319,-0.0838725572550203,0.352459086354132,-0.596512887799379,-0.411449109537445,-0.760565433223084
GPR56; ADGRG1,8,-0.569907118018691,-0.551300965776381,-0.515675729276916,-0.556058490580146,-0.656635233462071,-0.537224809918001,-0.601365253006595,-0.538046679315658,-0.6500282190463
CYB5R4,7,-0.532147271334233,-0.584611421939115,-0.588515748321297,-0.746681399170326,-0.546295458408869,-0.619920775319285,-0.731684267105177,-0.721372251197774,-0.386329741835585
ARL2BP,10,0.309044115808945,0.457317064645816,0.484765394420418,0.173246224713104,-0.00141039706304724,0.194963643986332,0.263956402612029,0.30398332307912,0.0966289921505918
PPTC7,5,-2.25002685178019,-2.14410534126984,-2.24823614432312,-1.87734286044416,-2.15995063502574,-1.78052299769053,-2.38853615610099,-2.26336106609578,-2.77136248287578
SF3B14; SF3B6,16,0.875993992964482,0.776460191235756,0.818028098618138,0.924023536534099,0.87966286149155,0.90260384859447,0.882482614784314,0.946431318461036,0.926674300432389
PLEKHH3,6,-1.46400910537748,-1.43168193136642,-1.30505427632297,-1.43389395813943,-1.06782593822889,-1.1618076769839,-1.20277016688376,-1.23694587938097,-0.906700122656554
SMPD2,7,-1.87766933004968,-1.96894769005628,-1.97886235511636,-1.95898500288319,-1.6655517948544,-1.86557030263827,-1.78840322073848,-1.92149904383966,-1.58305895211861
LGMN,7,-1.23020541086744,-1.17929476973214,-1.14772336606781,-1.06494006849099,-1.5001058253888,-1.19486371113555,-1.25603235062716,-1.11308396616235,-1.5785006701563
TOP3A,6,-1.11407935375099,-1.52236867349105,-1.08943149523908,-1.06067083464792,-0.392564142752152,-1.07014577858306,-0.793947208504017,-0.975066707860247,-0.335772351631316
ZNF552,8,-1.16760429179795,-1.04051958874615,-1.0614676327174,-1.06310884966139,-1.22042017900484,-0.920380661273494,-1.2401213833438,-1.120876592744,-1.3632777442387
C6orf106,6,-1.40885721673034,-1.38178763363088,-1.4425578000729,-1.60628603334018,-2.050787191538,-1.62038849944103,-1.69680370140464,-1.523888616319,-1.9181729071005
GUSB,6,-0.953409845422012,-0.973904463540062,-0.96795574679425,-0.846042126375195,-0.886975589400087,-0.802645808588673,-0.916680524822304,-0.714924441399736,-0.864471887267257
WDR24,7,-1.12776664677361,-1.24568216706604,-0.99169182600934,-1.27850305292226,-0.934681094369264,-1.21803721319025,-1.00510585029097,-1.17811377947727,-0.88966021935809
DNASE2,8,-1.21690858825399,-1.17929476973214,-1.38661962847904,-1.32675340354441,-1.51211834309078,-1.33215826474184,-1.38320833929089,-1.49690417522017,-1.44735507697622
NIN,8,-1.79215125886363,-1.68535109726313,-1.7119810301866,-1.3759155545802,-1.63021150871773,-1.31388642104331,-1.62228391871694,-1.49138365174596,-1.69866299429718
H6PD,6,-1.37971087107082,-1.38105585829646,-1.57788215237132,-1.42132821694039,-1.25163275058226,-1.43454251691133,-1.26300527401713,-1.43908022851464,-1.18871384799287
DVL3,6,-2.56590888439947,-2.52559979475406,-2.67111439681915,-2.66896252948044,-2.78775278570421,-2.74540914454667,-2.73120070918515,-2.73598605692757,-2.83699115084515
FAM84B,5,-1.8920576622228,-1.62086730731295,-1.70291061583931,-1.73643043543352,-1.95476030376423,-1.79417802175,-1.64852368637592,-1.6210110832171,-1.85893370372583
ZFP36,5,-2.40329769138844,-2.26310461338586,-2.52186566539611,-2.3759155545802,-2.45999561201465,-2.40362062729846,-2.26580390736981,-2.24311784618839,-2.15778549711551
RWDD4,6,-1.74016580629975,-1.52559979475406,-1.62850822544129,-1.64502447482368,-2.10070419031481,-1.73321728291218,-1.93215786144125,-1.65044450380362,-2.11205264069454
FADS1,6,-1.61463492421589,-1.6656124243718,-1.61332182162661,-1.42602755347621,-1.13125795913002,-1.41899872845738,-1.755579373767,-1.76455520912434,-1.35936269423532
APOL2,8,-0.719786312668445,-0.481009643729992,-0.699899772922063,-0.662940675968938,-0.953121808368472,-0.656866396782062,-0.863781177936394,-0.726767526898188,-1.04239545950289
PTRHD1,9,0.0761716804854036,0.23693494103583,0.133711206314956,0.00858707005446036,-0.422481130606103,-0.0548924730673832,-0.124167950358919,0.0291006176752049,-0.43425524705469
RPS26; RPS26P25; LOC101929876,11,-0.807280002158286,-0.438898270165659,-0.1409021002118,-0.431135834866975,0.587872959279421,-0.0904136529131616,0.208827448431281,-0.0941331871801445,0.865122713165142
TMEM55A; PIP4P2,8,-1.9580599543339,-2.12437587084391,-2.13818259885821,-2.04071288218251,-1.85347696792704,-2.03231069834959,-2.114361192662,-1.97956810009519,-1.80114595189843
AGPAT2,8,-0.882081244928067,-0.972250312729125,-0.989239305162216,-0.853408200208229,-0.318970741530189,-0.885107968780646,-0.666902215690778,-0.879431428809737,-0.353185511665361
KIFC3,9,-2.97799185665577,-3.03878731512492,-3.02584372298667,-3.04432112509936,-3.11895869417958,-2.84684089434801,-3.11941442038828,-3.02670207568628,-3.2574830802161
RIC8B,5,-2.12058091969294,-2.35927343583837,-1.90073180272974,-2.26090470052004,-1.98234613543613,-2.21379606841844,-1.96134957415603,-2.13157119354024,-1.68308386832641
FAM162A,6,-0.980354994024248,-1.20885659328528,-0.997841430550348,-0.835063056951597,-0.506500052103766,-0.828351522781148,-0.688331079749618,-0.746359310994091,-0.267536744880026
WASH6P,7,-1.42325229776408,-1.47241051480379,-1.48857796429681,-1.54707237347816,-1.78289358595762,-1.74031667529551,-1.52185188288749,-1.6210110832171,-1.74899466984732
TFPT,6,-1.64993765897156,-1.43395687802581,-1.56412899730399,-1.48691655856797,-1.93306523266491,-1.56711935958134,-1.62767381928584,-1.53425758970254,-1.95511725170726
PHKB,11,-1.24860196767336,-1.5047257127038,-1.37696945844532,-1.37213193048421,-0.884891522528624,-1.35066449443658,-1.12957428660851,-1.23771593279711,-0.657620316826588
TMEM161A,8,-4.37503943134692,-4.71178985055916,-4.20775707496805,-4.50254899311122,-3.95476030376423,-4.42307298996463,-3.77438664235718,-4.12016643026799,-3.67414067516311
DYNLT3,6,-1.10696131040382,-1.30829951586114,-1.19781231349655,-1.30856028677844,-1.19696120618085,-1.37650449937184,-1.23052166609323,-1.30230149505419,-1.38168978135258
PMM1,9,-1.37815204321426,-1.17421485236778,-1.31193336504813,-1.09830580924267,-1.42550723562936,-1.18999561045185,-1.17291337501711,-1.1937186680895,-1.55070511291008
SH2B1,8,0.215095878934966,0.562433770460029,0.24126919715013,0.0273292498308688,-0.220420179004842,-0.0323106983495922,-0.0675233800817399,0.0595076101837329,-0.138646850706252
CLOCK,9,-1.0889995572076,-1.17675257516968,-1.05568270388454,-1.13566537211033,-1.0619277491432,-1.04355740352433,-1.02452647247068,-0.987965274252364,-1.09350734510498
NDUFA11,4,-1.62476560449659,-1.85685787743485,-1.77289813477646,-1.52337948841009,-2.02416631113075,-1.88679500273732,-1.70058534194707,-1.79937476319905,-2.05394968613097
RAB43,15,-2.18862630711604,-2.61741588212402,-2.45434871834407,-2.32382704343175,-2.12263747655768,-2.32071127233496,-2.17883550664783,-2.2791283819541,-1.88496241305504
THUMPD2,8,-1.0562239483269,-1.15908154884263,-1.11861804549513,-1.17270123492762,-1.00990185795669,-1.21168016233265,-1.018023840913,-1.20496927130397,-0.943348090252078
TMEM173,6,-2.14821203867014,-2.11948537449683,-2.26149224102539,-2.0133454751955,-1.89376967387508,-2.06122842985138,-1.98998677961072,-1.99771544680545,-1.77309753424652
ITM2C,6,-1.04196121194284,-1.07975909618122,-0.870514204420712,-0.895150805397641,-0.654858515206863,-0.966611714235555,-0.880842071996403,-0.909792293387133,-0.673330399915249
HMG20A,7,-0.500428990509489,-0.397611255276731,-0.563672809144968,-0.437843303723406,-0.800463837453762,-0.507937160369648,-0.777878040875773,-0.51686134942503,-1.0581742719927
CCDC85B,7,-0.959224827260233,-0.873743665641873,-0.887540700717587,-0.865591854751804,-1.03625841778542,-0.97316807563293,-1.09183817603586,-1.08094512047027,-1.00266918118728
ACYP1,6,-0.91165599443505,-0.940637294032905,-1.00216180395501,-1.12926476249506,-1.3829731917908,-1.21520839847826,-1.1423755688316,-1.2680731934451,-1.41991354511149
ZWILCH,6,-0.0880436024243849,-0.204966177334335,-0.156639503565769,-0.359341330044689,0.0928098103626009,-0.231550354024591,0.000145623805973827,-0.150660933346416,0.222773336509121
ING2,7,-1.34503829341604,-1.11582835088875,-1.3351034836351,-1.23112879993439,-1.65752441379277,-1.23584409243472,-1.54971867632044,-1.30472009585684,-1.72780933995669
RAB33B,15,-2.46483610169757,-2.40912761519753,-2.20348663758982,-2.29059374024899,-2.07078410010371,-2.418185255055,-2.32732625498399,-2.28389237651163,-2.10876257076035
GPATCH2L,6,-1.1231897721957,-0.95309073444567,-0.929831115999456,-0.731089811650111,-1.35097662739786,-0.90776560041129,-1.14109031703979,-0.957834578147906,-1.39632305152885
FBXO6,9,-0.31527541303128,-0.492818946019625,-0.465810531200002,-0.625975725371891,-0.384812660407832,-0.652554836087401,-0.448081314640181,-0.664871574438902,-0.372125646157224
TOB2,8,-0.763887406644907,-0.65761471040812,-0.658394724373514,-1.16678988799659,-1.59061238082582,-1.22655709055493,-0.917780559218635,-0.908565511815856,-1.04711100950392
EIF4E2,10,-0.929810477529722,-1.16410836591746,-0.919287621757987,-0.920346575575307,-0.958590711963978,-1.02858119595154,-0.890528236966336,-0.808498556711934,-0.778750905619869
NUBPL,7,0.218963350755693,0.235981250674948,0.201029956350805,0.227866610882112,-0.116205750406047,0.205030231203203,0.0742190079667395,0.199772328090985,-0.161473442400069
IFI35,8,-1.21342969811662,-1.0922810164359,-1.21848880092907,-1.35112507928489,-1.80341312987623,-1.36626978494413,-1.55827053918524,-1.36065826745069,-1.63654128238938
NARF,6,-0.42244879173335,-0.450750343254311,-0.352334573865024,-0.424067635988409,-0.686271467838324,-0.415341704849286,-0.531502052921214,-0.467250901205796,-0.687167355459348
CNOT6,7,-2.78180931464217,-2.55831536989744,-2.51479361672061,-2.58949490611034,-2.60169369706796,-2.70714981136031,-2.71008303945466,-2.85382254722142,-2.76099576731752
INTS10,7,-0.831607547760319,-1.08809495534929,-0.849231826417117,-0.807719904438455,-0.159320774705366,-0.736255602829582,-0.501093322720697,-0.740344655532462,-0.225655426381003
OPTN,9,0.66822360599288,0.733520659833486,0.717641971111389,0.46672530068231,0.166506328375988,0.324056765173204,0.475217936129527,0.576116608103723,0.282250166512057
SNF8,5,-0.814113695216598,-1.03015700998148,-0.892688081943345,-0.70801389083883,-0.749329874506495,-0.872239166782148,-0.878698393978086,-0.829820980590505,-0.810024103244881
GPSM2,5,-2.79215125886363,-2.87322906066374,-2.53432578638458,-2.52254046829869,-2.62585422651429,-2.59259004709746,-2.71772647476846,-2.57552138473432,-3.02678735514844
GMIP,5,-1.30080567450611,-1.43092441229368,-1.42505016201126,-1.6187847071647,-1.43614887006028,-1.63732836186274,-1.19474774561357,-1.40754465508153,-1.33353040084465
CDC7,8,-1.06059291782901,-1.11826533633458,-0.95413844944661,-1.00981378422524,-0.959686984844152,-0.957128064368661,-1.12068049773228,-1.04141675628363,-0.951183520460589
THG1L,7,-0.0272271770773393,-0.405402606567574,-0.0656601103591061,-0.286670948201712,0.0383925308394986,-0.364309867456326,0.0448750463845951,-0.175529296307209,0.108220766737007
ARHGAP11A,8,-1.40965318642826,-1.36288107723039,-1.24750325376081,-0.937018891794178,-0.107674477151704,-0.82026917648329,-1.05445897854751,-1.2791283819541,-0.371796976594148
SFR1,6,-1.90659093935219,-1.94171594458101,-1.84756493421448,-1.90769368763163,-1.88854061762178,-1.80158461321836,-1.96248421443543,-1.84558191666749,-2.1668805314352
ZADH2,8,-0.590517397693977,-0.589674995575502,-0.594560893517951,-0.666643456418969,-0.862675904773509,-0.621792582316713,-0.726374023381972,-0.639209299800637,-0.85525335723788
FAM103A1,11,-0.19650335598798,-0.250018093467345,-0.372168472181503,-0.454949773759964,-0.712365663989468,-0.425523081197522,-0.6576836856614,-0.476764704204973,-0.70072546075407
SLMO2; PRELID3B,5,-0.983906973760768,-0.837153453955267,-0.888682977135842,-0.779381244324714,-1.2917952910418,-1.04544040797814,-0.981335774031216,-0.61000191050843,-1.11040666785098
EXTL3,6,-1.09859410625357,-1.23176218962627,-1.07505669746535,-1.11465024159947,-0.75502847983895,-1.06440687361528,-0.892689578255803,-1.0160939761203,-0.722351735446953
NOP10,6,-2.31117948940001,-2.18056754885385,-2.42753828284796,-2.28916603598513,-2.47716146672101,-2.11689786368416,-2.30556573624518,-2.30795121711985,-2.24780052681876
TATDN3,6,-0.659373238981175,-0.666503802244389,-0.788271477447397,-0.876806642247731,-1.22766495362208,-0.866679641440248,-1.01037650984431,-0.826921090084711,-1.19219161996438
KAZN,8,-1.80466025377021,-1.69441328183918,-1.8048882490209,-1.9476785575465,-2.25364815725352,-1.89017500047443,-2.16963377587602,-1.94771923405585,-2.39632305152885
ALKBH2,6,-1.04814508356621,-1.20755862195086,-1.19286552183325,-0.939816439773532,-1.13682702260469,-1.14219727137065,-1.1748847190372,-1.2163083003916,-1.06241126487917
MRPS16,10,-0.432929438849502,-0.22059118610321,-0.579264706421439,-0.0958076353874695,-1.10373061273971,-0.381649213514399,-0.801034145762861,-0.699990681015393,-1.15325939131414
SORBS1,6,-1.4806397799216,-1.40168719106859,-1.57512101269426,-1.32090660712904,-1.73518106831927,-1.50447953129488,-1.74090279713455,-1.48405566117992,-1.79760993287118
GTPBP5; MTG2,8,-1.15087138512063,-1.16978455044967,-1.10461442463505,-1.10519817651022,-1.03568029914779,-1.22087158549857,-1.05627483157627,-1.09413318718014,-1.02937700768526
MRPS18C,4,-3.80256787480897,-4.14162435176608,-3.84645474174654,-3.82778982203942,-4.04031174787944,-3.73930033496402,-4.22983841008194,-3.8993977514112,-4.154389587252
MED8,9,-0.134659299142401,-0.0393645085876635,-0.0914028392591693,0.0149578734419435,-0.480697967298376,-0.123844247815535,-0.276347401611277,-0.0468049793196634,-0.62278812732205
AP1S1,6,-1.5050999719113,-1.77960523478673,-1.52541473247719,-1.66803445287018,-1.11284815967025,-1.53237541025661,-1.47010150825707,-1.64634884444289,-0.966983213384026
AP4E1,6,-1.05871888200687,-1.19207337445344,-1.10395096403891,-1.29631872808262,-1.10130896711717,-1.18722119605665,-1.05869952969473,-1.13730756308938,-0.864934363642716
DYM,6,-1.44593410192288,-1.84268391741011,-1.59549316821333,-1.66618008880911,-1.20019667522225,-1.60734920436987,-1.52436310204354,-1.71117648409189,-1.25445029574653
MMACHC,6,-0.157875582408179,-0.0471793067317581,-0.17463881144185,-0.128626260585598,-0.812792531869693,-0.316157786048121,-0.453654646784614,-0.225062313780192,-0.773531623324837
TRIM2,8,-1.48734610247236,-1.3194724277804,-1.42836861095197,-1.54451515855595,-1.68174180935781,-1.60920476094835,-1.39006201033195,-1.41623561534557,-1.59068824034177
C16orf91,11,-0.272294431635439,-0.31003958969516,-0.314233703097361,-0.264407239363214,-0.324255989989382,-0.294349627144829,-0.282356430436973,-0.283892376511631,-0.450128158158497
RPS19BP1,6,-1.6928923878924,-1.83966467311132,-1.48252891962401,-1.50586172715206,-0.895342093693831,-1.43289841982071,-1.38244882622208,-1.59512352108772,-0.945302961880301
NUDT3,11,-1.02539595824774,-0.881484848805943,-1.15801612107565,-1.12543798295455,-1.40147427940679,-1.23441142594073,-1.1327639740473,-1.16121417908833,-1.42740808165841
COA3,7,-0.943001579541878,-0.789281294135771,-0.895555693781706,-0.658325524749479,-0.818747937812043,-0.780000376767996,-1.02334199371705,-0.911020119027957,-0.80380366534434
FBXO3,6,-1.3565034799095,-1.48257864338533,-1.43336064029572,-1.07720795738693,-0.849407303617998,-1.01375885624601,-2.37035068370421,-2.45063963428836,-2.57395674501136
FBXL19,5,-2.55178201469669,-2.44538573399927,-2.60578814894121,-2.31363127632586,-1.73612001728889,-2.35455002073053,-2.10681438360865,-2.44351519985498,-1.79584516807512
TPD52L1,7,-0.321253955814948,0.199265784147549,-0.344084967762623,-0.0254777375815944,-1.41043978754042,-0.0943066933889511,-1.29552207033403,-0.627051685374402,-1.45569036279636
TET2,9,-1.52998203748808,-1.65054266173262,-1.67111439681915,-1.61609728936018,-1.59998332930286,-1.55365709977478,-1.67153366442242,-1.72191087171584,-1.50890619567961
SAP30,10,-0.0211321319284927,0.0639379948861709,0.074571374572507,0.244966520395895,-0.1464688707741,0.215027063973295,-0.149464993617915,0.102428830441854,-0.348327402772728
